,secID,endDate,ADJUST_NAV
0,000082.OFCN,2017/3/1,1.7987
1,000082.OFCN,2017/3/2,1.791
2,000082.OFCN,2017/3/3,1.7941
3,000082.OFCN,2017/3/6,1.811
4,000082.OFCN,2017/3/7,1.8156
5,000082.OFCN,2017/3/8,1.811
6,000082.OFCN,2017/3/9,1.7971
7,000082.OFCN,2017/3/10,1.8033
8,000082.OFCN,2017/3/13,1.8202
9,000082.OFCN,2017/3/14,1.8172
10,000082.OFCN,2017/3/15,1.8202
11,000082.OFCN,2017/3/16,1.8326
12,000082.OFCN,2017/3/17,1.8156
13,000082.OFCN,2017/3/20,1.8156
14,000082.OFCN,2017/3/21,1.8264
15,000082.OFCN,2017/3/22,1.8218
16,000082.OFCN,2017/3/23,1.8264
17,000082.OFCN,2017/3/24,1.8356
18,000082.OFCN,2017/3/27,1.8295
19,000082.OFCN,2017/3/28,1.8233
20,000082.OFCN,2017/3/29,1.8187
21,000082.OFCN,2017/3/30,1.7971
22,000082.OFCN,2017/3/31,1.8079
23,000082.OFCN,2017/4/5,1.8372
24,000082.OFCN,2017/4/6,1.8449
25,000082.OFCN,2017/4/7,1.8495
26,000082.OFCN,2017/4/10,1.8449
27,000082.OFCN,2017/4/11,1.8541
28,000082.OFCN,2017/4/12,1.851
29,000082.OFCN,2017/4/13,1.8572
30,000082.OFCN,2017/4/14,1.8372
31,000082.OFCN,2017/4/17,1.8279
32,000082.OFCN,2017/4/18,1.8279
33,000082.OFCN,2017/4/19,1.8249
34,000082.OFCN,2017/4/20,1.8326
35,000082.OFCN,2017/4/21,1.8264
36,000082.OFCN,2017/4/24,1.8018
37,000082.OFCN,2017/4/25,1.8095
38,000082.OFCN,2017/4/26,1.811
39,000082.OFCN,2017/4/27,1.8156
40,000082.OFCN,2017/4/28,1.8172
41,000082.OFCN,2017/5/2,1.8172
42,000082.OFCN,2017/5/3,1.8064
43,000082.OFCN,2017/5/4,1.8002
44,000082.OFCN,2017/5/5,1.7833
45,000082.OFCN,2017/5/8,1.7525
46,000082.OFCN,2017/5/9,1.7571
47,000082.OFCN,2017/5/10,1.7463
48,000082.OFCN,2017/5/11,1.7602
49,000082.OFCN,2017/5/12,1.7679
50,000082.OFCN,2017/5/15,1.7771
51,000082.OFCN,2017/5/16,1.8048
52,000082.OFCN,2017/5/17,1.7987
53,000082.OFCN,2017/5/18,1.7941
54,000082.OFCN,2017/5/19,1.7925
55,000082.OFCN,2017/5/22,1.7848
56,000082.OFCN,2017/5/23,1.7787
57,000082.OFCN,2017/5/24,1.7771
58,000082.OFCN,2017/5/25,1.7925
59,000082.OFCN,2017/5/26,1.7925
60,000082.OFCN,2017/5/31,1.7925
61,000176.OFCN,2017/3/1,1.1049
62,000176.OFCN,2017/3/2,1.0956
63,000176.OFCN,2017/3/3,1.0958
64,000176.OFCN,2017/3/6,1.1033
65,000176.OFCN,2017/3/7,1.1055
66,000176.OFCN,2017/3/8,1.1038
67,000176.OFCN,2017/3/9,1.0954
68,000176.OFCN,2017/3/10,1.098
69,000176.OFCN,2017/3/13,1.1085
70,000176.OFCN,2017/3/14,1.1056
71,000176.OFCN,2017/3/15,1.1083
72,000176.OFCN,2017/3/16,1.1142
73,000176.OFCN,2017/3/17,1.1022
74,000176.OFCN,2017/3/20,1.1025
75,000176.OFCN,2017/3/21,1.1099
76,000176.OFCN,2017/3/22,1.1044
77,000176.OFCN,2017/3/23,1.1082
78,000176.OFCN,2017/3/24,1.1173
79,000176.OFCN,2017/3/27,1.1154
80,000176.OFCN,2017/3/28,1.1127
81,000176.OFCN,2017/3/29,1.1113
82,000176.OFCN,2017/3/30,1.1018
83,000176.OFCN,2017/3/31,1.11
84,000176.OFCN,2017/4/5,1.1292
85,000176.OFCN,2017/4/6,1.136
86,000176.OFCN,2017/4/7,1.1406
