,F_FUND_CODE,F_SETUP_DATE,F_STYLE_CODE,F_STYLE_NAME
0,690008,2012/3/8,A0201,纯指数型
1,1342,2015/5/29,B01,混合->灵活配置型
2,1443,2015/12/2,B01,混合->灵活配置型
3,162714,2012/5/7,A0201,纯指数型
4,40028,2012/5/9,C04,债券->理财债基
5,5414,2017/12/28,A0201,纯指数型
6,5415,2017/12/28,A0201,纯指数型
7,40029,2012/5/9,C04,债券->理财债基
8,519034,2012/5/25,A0201,纯指数型
9,3863,2016/12/7,C01,债券->纯债型
10,3864,2016/12/7,C01,债券->纯债型
11,3754,2016/12/23,B01,混合->灵活配置型
12,3755,2016/12/23,B01,混合->灵活配置型
13,1832,2018/1/10,B01,混合->灵活配置型
14,3445,2016/11/11,C01,债券->纯债型
16,1369,2015/6/10,C01,债券->纯债型
17,2197,2015/12/30,B04,混合->保本型
18,1877,2016/1/20,A0101,积极股票型
19,1954,2016/3/4,B01,混合->灵活配置型
21,2300,2016/2/3,A0101,积极股票型
22,2263,2016/2/23,B01,混合->灵活配置型
24,960019,2015/12/31,B02,混合->积极配置型
25,993600,2015/12/25,B02,混合->积极配置型
26,5256,2018/1/12,B01,混合->灵活配置型
27,4076,2017/1/23,B02,混合->积极配置型
29,4154,2016/12/29,B01,混合->灵活配置型
30,1720,2016/12/29,B03,混合->保守配置型
31,5450,2018/1/17,B01,混合->灵活配置型
33,4072,2017/1/20,D,货币基金
34,4073,2017/1/20,D,货币基金
35,4276,2017/3/23,B03,混合->保守配置型
36,4277,2017/3/23,B03,混合->保守配置型
38,3934,2017/6/16,C01,债券->纯债型
39,3935,2017/6/16,C01,债券->纯债型
40,519753,2015/5/29,B04,混合->保本型
41,1321,2015/5/21,B01,混合->灵活配置型
42,340005,2006/4/27,D,货币基金
43,163113,2014/3/13,A0201,纯指数型
44,3932,2017/6/1,C01,债券->纯债型
45,519999,2004/3/19,D,货币基金
46,4942,2018/2/6,B01,混合->灵活配置型
47,760,2015/6/19,D,货币基金
48,5161,2017/12/27,A0101,积极股票型
49,4943,2018/2/6,B01,混合->灵活配置型
50,5459,2018/2/6,B01,混合->灵活配置型
51,2991,2016/7/15,C01,债券->纯债型
52,2917,2016/6/30,D,货币基金
53,519324,2016/7/11,C01,债券->纯债型
54,2101,2015/11/19,B01,混合->灵活配置型
55,519325,2016/7/11,C01,债券->纯债型
56,2868,2016/6/28,C01,债券->纯债型
57,2286,2015/12/30,E,QDII
58,1868,2015/9/28,C02,债券->一级债基
59,2927,2016/7/5,C01,债券->纯债型
60,2311,2015/12/31,A0202,增强指数型
61,2928,2016/7/5,C01,债券->纯债型
62,2310,2015/12/31,A0202,增强指数型
63,162717,2016/12/19,B01,混合->灵活配置型
64,511950,2016/11/22,D,货币基金
65,168301,2016/12/21,B01,混合->灵活配置型
66,395,2013/11/22,C01,债券->纯债型
67,502037,2015/6/29,A0201,纯指数型
68,502038,2015/6/29,A0201,纯指数型
69,150315,2015/6/15,A0201,纯指数型
70,150316,2015/6/15,A0201,纯指数型
71,510360,2015/8/20,A0201,纯指数型
72,167501,2015/7/24,C02,债券->一级债基
73,511980,2015/10/16,D,货币基金
74,2341,2016/3/9,C01,债券->纯债型
75,2283,2016/3/29,C01,债券->纯债型
76,943,2015/12/2,C01,债券->纯债型
77,2602,2017/3/24,B03,混合->保守配置型
78,5047,2017/12/26,B03,混合->保守配置型
79,1450,2015/9/30,C03,债券->二级债基
80,5048,2017/12/27,B03,混合->保守配置型
81,519137,2017/7/28,C01,债券->纯债型
82,1791,2015/9/23,B05,混合->特定策略型
83,2111,2016/12/19,B01,混合->灵活配置型
84,1679,2015/9/10,B01,混合->灵活配置型
85,519138,2017/7/28,C01,债券->纯债型
86,489,2014/8/12,C01,债券->纯债型
87,240018,2011/4/27,C02,债券->一级债基
88,4171,2017/1/25,B03,混合->保守配置型
89,681,2014/6/26,D,货币基金
90,240012,2009/2/17,C03,债券->二级债基
91,200016,2012/8/2,B04,混合->保本型
92,4626,2017/6/16,C03,债券->二级债基
93,1696,2017/8/3,A0101,积极股票型
94,2922,2016/7/19,C03,债券->二级债基
95,2924,2016/8/24,C03,债券->二级债基
96,2574,2016/8/24,B01,混合->灵活配置型
97,3317,2016/12/7,D,货币基金
98,5059,2017/11/2,B03,混合->保守配置型
100,2980,2016/9/7,A0101,积极股票型
102,1971,2015/11/13,C01,债券->纯债型
103,3776,2016/12/6,C01,债券->纯债型
104,2413,2016/2/4,B01,混合->灵活配置型
105,4326,2017/3/7,B03,混合->保守配置型
106,2409,2016/2/23,B01,混合->灵活配置型
107,519989,2008/12/29,C03,债券->二级债基
108,1846,2015/11/26,B03,混合->保守配置型
109,2041,2015/11/27,B01,混合->灵活配置型
110,583001,2010/5/11,D,货币基金
111,1228,2015/4/28,B01,混合->灵活配置型
112,4083,2017/3/3,B03,混合->保守配置型
113,519961,2015/6/12,B01,混合->灵活配置型
114,917,2015/6/25,D,货币基金
115,4084,2017/3/3,B03,混合->保守配置型
116,2368,2016/2/3,B01,混合->灵活配置型
117,519957,2015/7/6,B01,混合->灵活配置型
118,202007,2007/11/9,B02,混合->积极配置型
119,184719,1993/2/5,A0101,积极股票型
120,4301,2017/3/8,B03,混合->保守配置型
121,4302,2017/3/8,B03,混合->保守配置型
122,2005,2017/3/23,B03,混合->保守配置型
123,500013,1992/4/29,A0101,积极股票型
124,161607,2005/5/12,A0202,增强指数型
125,202011,2008/6/18,B02,混合->积极配置型
126,163801,2005/1/4,B02,混合->积极配置型
127,202015,2009/3/25,A0201,纯指数型
128,510050,2004/12/30,A0201,纯指数型
129,202302,2009/7/22,D,货币基金
130,150282,2015/6/16,A0201,纯指数型
131,150325,2015/7/23,A0201,纯指数型
132,150326,2015/7/23,A0201,纯指数型
133,159946,2015/7/1,A0201,纯指数型
134,150309,2015/6/26,A0201,纯指数型
135,150310,2015/6/26,A0201,纯指数型
136,150311,2015/6/26,A0201,纯指数型
137,3410,2016/10/13,C03,债券->二级债基
138,159945,2015/6/25,A0201,纯指数型
139,159944,2015/6/25,A0201,纯指数型
140,3309,2016/10/27,C01,债券->纯债型
141,3310,2016/10/27,C01,债券->纯债型
142,562,2014/7/25,C01,债券->纯债型
143,162715,2013/5/8,C01,债券->纯债型
144,23,2013/5/3,C01,债券->纯债型
145,22,2013/5/3,C01,债券->纯债型
146,150127,2013/3/1,C01,债券->纯债型
147,150241,2015/4/30,A0201,纯指数型
148,150242,2015/4/30,A0201,纯指数型
149,1691,2015/9/30,E,QDII
150,510560,2015/5/29,A0201,纯指数型
151,159943,2015/6/5,A0201,纯指数型
152,629,2014/5/30,C01,债券->纯债型
153,400023,2014/5/21,B01,混合->灵活配置型
154,2998,2016/8/30,C03,债券->二级债基
155,1920,2015/11/30,C03,债券->二级债基
156,2097,2015/12/2,B01,混合->灵活配置型
157,2092,2015/11/24,B01,混合->灵活配置型
158,2679,2016/4/26,D,货币基金
159,2680,2016/4/26,D,货币基金
160,3436,2016/12/21,B01,混合->灵活配置型
161,2546,2016/4/29,D,货币基金
162,675081,2016/11/17,C03,债券->二级债基
163,1198,2015/4/21,B01,混合->灵活配置型
164,4380,2017/2/28,B03,混合->保守配置型
165,2266,2016/1/26,C01,债券->纯债型
166,2722,2016/4/26,D,货币基金
167,2704,2016/6/3,C01,债券->纯债型
168,2705,2016/6/3,C01,债券->纯债型
169,4911,2017/7/20,C01,债券->纯债型
170,2033,2016/9/22,B01,混合->灵活配置型
171,1303,2015/5/21,B01,混合->灵活配置型
172,2323,2016/4/1,B01,混合->灵活配置型
